J,J2
0.999718,1.10514
0.81426,1.08483
0.865581,1.09041
0.909648,1.09523
0.993359,1.10444
0.890415,1.09313
0.921902,1.09657
0.939264,1.09848
0.924722,1.09688
0.993739,1.10448
0.96714,1.10155
0.788416,1.08203
0.985604,1.10358
0.981493,1.10313
0.753813,1.0783
0.949096,1.09956
0.915097,1.09583
0.883455,1.09237
0.975874,1.10251
0.713454,1.07395
0.959392,1.10069
0.922458,1.09663
0.770102,1.08005
0.791234,1.08234
0.808599,1.08422
0.780248,1.08115
0.990662,1.10414
0.947699,1.09941
0.952385,1.09992
0.8743,1.09137
0.939094,1.09846
0.93173,1.09765
0.973629,1.10226
0.82149,1.08562
0.703758,1.07291
0.940379,1.0986
0.988651,1.10392
0.939967,1.09856
0.903196,1.09452
0.956029,1.10032
0.963602,1.10116
0.901349,1.09432
0.902007,1.09439
0.987448,1.10378
0.93268,1.09776
0.976326,1.10256
0.901697,1.09436
0.907728,1.09502
0.974404,1.10235
0.974548,1.10236
0.946761,1.0993
0.9662,1.10144
0.973516,1.10225
0.876951,1.09166
0.942195,1.0988
0.927765,1.09722
0.847852,1.08848
0.863458,1.09018
0.854919,1.08925
0.936494,1.09817
0.911599,1.09544
0.934848,1.09799
0.883176,1.09234
0.996719,1.10481
0.864672,1.09032
0.94535,1.09915
0.904829,1.0947
0.883494,1.09237
0.952231,1.0999
0.971884,1.10207
0.91872,1.09622
0.82902,1.08644
0.991309,1.10421
0.952755,1.09996
0.958472,1.10059
0.884887,1.09252
0.878774,1.09185
0.828368,1.08636
0.993695,1.10447
0.741161,1.07693
0.886177,1.09266
0.998161,1.10497
0.972846,1.10217
0.724204,1.07511
0.973258,1.10222
0.938808,1.09843
0.824983,1.086
0.857778,1.08956
0.925718,1.09699
0.973471,1.10224
0.771036,1.08015
0.833694,1.08694
0.79052,1.08226
0.992877,1.10438
0.982674,1.10326
0.89356,1.09347
0.937191,1.09825
0.835324,1.08712
0.918382,1.09619
0.972459,1.10213
0.992256,1.10432
0.617055,1.06365
0.884933,1.09253
0.688977,1.07133
0.978947,1.10285
0.951648,1.09984
0.901511,1.09434
0.964018,1.1012
0.925194,1.09693
0.896187,1.09376
0.79851,1.08313
0.987935,1.10384
0.880936,1.09209
0.98911,1.10397
0.688352,1.07126
0.919059,1.09626
0.946504,1.09927
0.994888,1.10461
0.99518,1.10464
0.870097,1.09091
0.865279,1.09038
0.940918,1.09866
0.948418,1.09948
0.660794,1.06831
0.91231,1.09552
0.985889,1.10361
0.872174,1.09113
0.831378,1.08669
0.916333,1.09596
0.964945,1.1013
0.771518,1.08021
0.976629,1.10259
0.584614,1.0602
0.926759,1.09711
0.867083,1.09058
0.938781,1.09843
0.943913,1.09899
0.917141,1.09605
0.878535,1.09183
0.859441,1.08975
0.993288,1.10443
0.936265,1.09815
0.886213,1.09267
0.985018,1.10352
0.780176,1.08114
0.921976,1.09658
0.763182,1.07931
0.955797,1.1003
0.965742,1.10139
0.732413,1.07599
0.985612,1.10358
0.959348,1.10069
0.937111,1.09824
0.928289,1.09727
0.982573,1.10325
0.940294,1.09859
0.858977,1.08969
0.929286,1.09738
0.623736,1.06436
0.961194,1.10089
0.831285,1.08668
0.892092,1.09331
0.97675,1.1026
0.851429,1.08887
0.830563,1.0866
0.9988,1.10504
0.738575,1.07665
0.967054,1.10154
0.91082,1.09536
0.900885,1.09427
0.954031,1.1001
0.954104,1.10011
0.73706,1.07649
0.972834,1.10217
0.965557,1.10137
0.996914,1.10483
0.890552,1.09314
0.961078,1.10088
0.935369,1.09805
0.734437,1.07621
0.996754,1.10481
0.942657,1.09885
0.996552,1.10479
0.99928,1.10509
0.979037,1.10286
0.988115,1.10386
0.946539,1.09928
0.890663,1.09315
0.978571,1.10281
0.930688,1.09754
0.942911,1.09888
0.930529,1.09752
0.861576,1.08998
0.991819,1.10427
0.987282,1.10377
0.968351,1.10168
0.930961,1.09757
0.784786,1.08164
0.933591,1.09786
0.989915,1.10406
0.970093,1.10187
0.944374,1.09904
0.905867,1.09482
0.934096,1.09791
0.924676,1.09688
0.979872,1.10295
0.909628,1.09523
0.969777,1.10184
0.879653,1.09195
0.958763,1.10062
0.969727,1.10183
0.962171,1.101
0.945921,1.09921
0.995791,1.10471
0.909466,1.09521
0.9982,1.10497
0.960877,1.10086
0.999142,1.10508
0.999435,1.10511
0.719979,1.07465
0.96331,1.10112
0.799129,1.08319
0.974986,1.10241
0.934992,1.09801
0.774615,1.08054
0.982459,1.10323
0.942831,1.09887
0.971034,1.10197
0.999977,1.10517
0.956212,1.10034
0.988345,1.10388
0.983623,1.10336
0.947891,1.09943
0.999162,1.10508
0.933338,1.09783
0.811783,1.08456
0.7331,1.07606
0.983006,1.10329
0.930065,1.09747
0.823795,1.08587
0.988072,1.10385
0.935834,1.0981
0.987337,1.10377
0.895987,1.09374
0.853229,1.08907
0.98258,1.10325
0.833556,1.08693
0.754075,1.07832
0.946057,1.09923
0.956488,1.10037
0.913961,1.0957
0.827833,1.08631
0.795909,1.08284
0.836033,1.0872
0.83277,1.08684
0.928931,1.09734
0.879038,1.09188
0.820753,1.08554
0.841502,1.08779
0.992569,1.10435
0.923795,1.09678
0.887805,1.09284
0.95438,1.10014
0.848514,1.08856
0.987259,1.10376
0.950907,1.09976
0.915983,1.09592
0.835638,1.08715
0.749974,1.07788
0.998024,1.10495
0.855231,1.08929
0.921137,1.09649
0.8923,1.09333
0.890341,1.09312
0.83551,1.08714
0.955681,1.10028
0.871684,1.09108
0.821293,1.0856
0.963534,1.10115
0.901748,1.09437
0.985364,1.10355
0.92341,1.09674
0.964676,1.10127
0.94662,1.09929
0.97887,1.10284
0.896542,1.0938
0.953718,1.10007
0.979493,1.10291
0.917508,1.09609
0.941646,1.09874
0.635666,1.06563
0.870505,1.09095
0.874619,1.0914
0.907836,1.09503
0.983137,1.10331
0.997623,1.10491
0.834147,1.08699
0.940466,1.09861
0.931769,1.09766
0.844617,1.08813
0.959309,1.10068
0.836668,1.08727
0.950486,1.09971
0.936283,1.09815
0.928032,1.09725
0.952997,1.09999
0.700054,1.07251
0.906787,1.09492
0.914057,1.09571
0.938959,1.09845
0.894738,1.0936
0.737287,1.07651
0.989874,1.10405
0.979505,1.10291
0.888485,1.09292
0.733249,1.07608
0.772843,1.08035
0.897211,1.09387
0.971528,1.10203
0.779029,1.08102
0.772997,1.08037
0.967814,1.10162
0.946403,1.09926
0.967753,1.10161
0.945099,1.09912
0.989549,1.10402
0.95026,1.09969
0.976498,1.10258
0.963093,1.1011
0.765832,1.07959
0.947652,1.0994
0.874394,1.09138
0.941555,1.09873
0.979847,1.10295
0.998191,1.10497
0.896585,1.0938
0.957709,1.10051
0.970923,1.10196
0.915942,1.09592
0.874407,1.09138
0.98171,1.10315
0.71032,1.07362
0.91764,1.09611
0.965132,1.10132
0.879074,1.09189
0.965632,1.10138
0.968118,1.10165
0.790216,1.08223
0.990611,1.10413
0.84806,1.08851
0.810384,1.08441
0.994879,1.10461
0.926134,1.09704
0.949221,1.09957
0.900457,1.09422
0.890429,1.09313
0.913575,1.09566
0.942061,1.09879
0.925887,1.09701
0.994887,1.10461
0.816203,1.08504
0.98618,1.10364
0.99371,1.10448
0.929666,1.09743
0.979486,1.10291
0.783935,1.08155
0.969742,1.10183
0.944862,1.09909
0.984678,1.10348
0.842472,1.0879
0.943343,1.09893
0.920997,1.09647
0.634812,1.06554
0.918799,1.09623
0.98498,1.10351
0.938913,1.09844
0.97087,1.10196
0.868684,1.09075
0.951582,1.09983
0.909339,1.0952
0.988736,1.10393
0.858748,1.08967
0.818013,1.08524
0.828953,1.08643
0.652565,1.06743
0.990051,1.10407
0.884266,1.09245
0.958064,1.10055
0.889757,1.09305
0.991427,1.10422
0.937645,1.0983
0.825148,1.08601
0.937574,1.09829
0.874714,1.09141
0.911528,1.09544
0.599611,1.0618
0.706986,1.07326
0.873166,1.09124
0.784423,1.0816
0.769153,1.07995
0.979217,1.10288
0.869498,1.09084
0.943748,1.09897
0.92322,1.09672
0.910153,1.09529
0.872518,1.09117
0.884825,1.09252
0.973011,1.10219
