J,J2
0.599831,0.637091
1.13996,1.56905
0.519348,0.631984
1.27351,1.59014
0.596015,0.636848
1.24658,1.58587
0.553141,0.634124
1.31497,1.59675
0.554833,0.634231
1.39124,1.60897
0.580284,0.635847
1.10378,1.56338
0.591363,0.636552
1.37409,1.60622
0.452288,0.62776
1.32873,1.59895
0.549058,0.633865
1.23684,1.58432
0.585524,0.63618
0.998836,1.54706
0.575635,0.635552
1.29144,1.593
0.462061,0.628374
1.10773,1.564
0.48516,0.629827
1.09235,1.56159
0.594397,0.636745
1.32678,1.59863
0.571431,0.635284
1.22402,1.58229
0.563457,0.634778
1.30442,1.59506
0.584178,0.636095
1.15009,1.57064
0.422255,0.625878
1.31653,1.597
0.593191,0.636668
1.31595,1.59691
0.541918,0.633412
1.33844,1.6005
0.578161,0.635712
1.26189,1.58829
0.541204,0.633367
1.38243,1.60756
0.559608,0.634534
1.36686,1.60505
0.541018,0.633355
1.27082,1.58971
0.584642,0.636124
1.36437,1.60466
0.568057,0.63507
1.35268,1.60278
0.584109,0.63609
1.22773,1.58288
0.565317,0.634896
1.29887,1.59418
0.508711,0.631312
1.20884,1.57989
0.512951,0.63158
1.31109,1.59613
0.546959,0.633732
1.30879,1.59576
0.529906,0.632652
1.39541,1.60964
0.518803,0.63195
1.32349,1.59811
0.542897,0.633474
1.23689,1.58433
0.571339,0.635279
1.36064,1.60406
0.551232,0.634002
1.16063,1.57229
0.594785,0.63677
1.33386,1.59977
0.575083,0.635516
1.23884,1.58464
0.527264,0.632485
1.15972,1.57215
0.596217,0.636861
1.03763,1.55307
0.531706,0.632766
1.39742,1.60997
0.583708,0.636065
1.01389,1.54939
0.583955,0.636081
1.31433,1.59665
0.49499,0.630447
1.20089,1.57864
0.555431,0.634269
1.36286,1.60441
0.462622,0.628409
1.16717,1.57332
0.474312,0.629144
1.39003,1.60878
0.589605,0.63644
1.25098,1.58656
0.562315,0.634706
1.16945,1.57368
0.551029,0.63399
1.36144,1.60419
0.595353,0.636806
0.863877,1.52632
0.53096,0.632719
0.964568,1.54177
0.587368,0.636298
1.33231,1.59952
0.540907,0.633348
1.34962,1.60229
0.555116,0.634249
1.25466,1.58715
0.479106,0.629446
1.38311,1.60767
0.528561,0.632567
1.38475,1.60793
0.413011,0.6253
1.28668,1.59224
0.567903,0.63506
1.39284,1.60923
0.597108,0.636918
1.21814,1.58136
0.519168,0.631973
1.31728,1.59712
0.569051,0.635133
0.925111,1.5357
0.547386,0.633759
1.38024,1.6072
0.523305,0.632234
1.16393,1.57281
0.5498,0.633912
1.35092,1.6025
0.462911,0.628428
1.36728,1.60512
0.350769,0.62142
1.29746,1.59396
0.52025,0.632041
1.31429,1.59664
0.566348,0.634962
1.284,1.59181
0.527121,0.632476
1.20322,1.579
0.595973,0.636845
1.31077,1.59608
0.531728,0.632767
1.37902,1.60701
0.468106,0.628754
1.29077,1.59289
0.457909,0.628113
1.33812,1.60045
0.579445,0.635794
1.02538,1.55117
0.591367,0.636552
1.34309,1.60124
0.562266,0.634702
1.2996,1.5943
0.589544,0.636436
1.31641,1.59698
0.515386,0.631734
1.301,1.59452
0.374242,0.62288
1.34567,1.60166
0.498771,0.630685
1.24893,1.58624
0.58605,0.636214
1.192,1.57723
0.498338,0.630658
1.39832,1.61011
0.443145,0.627187
1.35388,1.60297
0.546492,0.633702
1.26124,1.58819
0.572418,0.635347
1.33575,1.60007
