Dimerization,ZL,error,N
0.0,0.04475660094636054,0.004261768277033656,500.0
0.1,0.02987136007709515,0.004388202472828928,500.0
0.2,0.005457321552140167,0.004925960708283779,500.0
0.3,-0.017242913530119915,0.0048161603332825525,500.0
0.4,-0.02996491854110317,0.004920037906126687,500.0
0.5,-0.0047485469063821,0.006175718998618247,500.0
0.6,0.0767005125807454,0.007850567406547776,500.0
0.7,0.20402438527381783,0.008819774097382261,500.0
0.8,0.3587709422476662,0.008815096442033635,500.0
0.9,0.5505551863978032,0.006821609221459191,500.0
1.0,0.7341281321103627,2.8070866390892245e-13,500.0
